LEMMA|POS	LEMMA	POS	FREQUENCY	INFLECTIONS
clean|v	clean	v	621	clean, cleans, cleaning, cleaned
apologize|v	apologize	v	620	apologize, apologizing, apologizes, apologized
clear|j	clear	j	620	clear, clearer, clearest
Earth|K	Earth	K	620	Earth, earth
share|v	share	v	620	share, shares, sharing, shared
fill|v	fill	v	619	fill, fills, filling, filled
cool|u	cool	u	617	cool
pizza|n	pizza	n	612	pizza, pizzas
ridiculous|j	ridiculous	j	612	ridiculous
alive|j	alive	j	609	alive
pretend|v	pretend	v	608	pretend, pretends, pretending, pretended
hospital|n	hospital	n	604	hospital, hospitals
sad|j	sad	j	603	sad, sadder, saddest
bunch|n	bunch	n	602	bunch, bunches
half|fw	half	fw	602	half
police|n	police	n	602	police
fish|n	fish	n	600	fish, fishes
window|n	window	n	599	window, windows
busy|j	busy	j	597	busy, busier, busiest
sign|n	sign	n	597	sign, signs
call|n	call	n	595	call, calls
pie|n	pie	n	594	pie, pies
answer|v	answer	v	592	answer, answers, answering, answered
raise|v	raise	v	592	raise, raises, raising, raised
somewhere|r	somewhere	r	592	somewhere
sandwich|n	sandwich	n	590	sandwich, sandwiches
thirty|m	thirty	m	590	thirty, thirties
sale|n	sale	n	589	sale, sales
choose|v	choose	v	588	choose, chooses, choosing, chose, chosen
definitely|r	definitely	r	588	definitely
swear|v	swear	v	588	swear, swears, swearing, swore, sworn
pretty|r	pretty	r	585	pretty
boat|n	boat	n	583	boat, boats
tired|j	tired	j	582	tired
ho|u	ho	u	581	ho
upset|j	upset	j	578	upset
less|fw	less	fw	577	less
nine|m	nine	m	576	nine, nines
thousand|m	thousand	m	576	thousand, thousands
smoke|v	smoke	v	574	smoke, smokes, smoking, smoked
embarrass|v	embarrass	v	573	embarrass, embarrasses, embarrassing, embarrassed
band|n	band	n	572	band, bands
bear|v	bear	v	572	bear, bears, bearing, bore, borne, born
none|fw	none	fw	571	none
Santa|K	Santa	K	571	Santa
strong|j	strong	j	571	strong, stronger, strongest
law|n	law	n	570	law, laws
toilet|n	toilet	n	570	toilet, toilets
jump|v	jump	v	569	jump, jumps, jumping, jumped
count|v	count	v	567	count, counts, counting, counted
egg|n	egg	n	566	egg, eggs
Saturday|K	Saturday	K	565	Saturday, Saturdays
blue|j	blue	j	564	blue, bluer, bluest
horrible|j	horrible	j	564	horrible
shit|n	shit	n	564	shit, shits
favor|n	favor	n	563	favor, favors
handle|v	handle	v	563	handle, handles, handling, handled
wall|n	wall	n	563	wall, walls
art|n	art	n	562	art, arts
cover|v	cover	v	562	cover, covers, covering, covered
arm|n	arm	n	561	arm, arms
perhaps|r	perhaps	r	560	perhaps
simple|j	simple	j	560	simple, simpler, simplest
bus|n	bus	n	558	bus, buses
appreciate|v	appreciate	v	556	appreciate, appreciates, appreciating, appreciated
himself|fw	himself	fw	556	himself
surprise|v	surprise	v	556	surprise, surprises, surprising, surprised
candy|n	candy	n	555	candy, candies
finger|n	finger	n	553	finger, fingers
worth|j	worth	j	551	worth
state|n	state	n	550	state, states
possible|j	possible	j	549	possible
rich|j	rich	j	548	rich, richer, richest
short|j	short	j	548	short, shorter, shortest
king|n	king	n	547	king, kings
knock|v	knock	v	547	knock, knocks, knocking, knocked
cookie|n	cookie	n	545	cookie, cookies
penis|n	penis	n	545	penis, penises, penes
history|n	history	n	544	history, histories
imagine|v	imagine	v	544	imagine, imagines, imagining, imagined
third|m	third	m	544	third, thirds
blood|n	blood	n	542	blood, bloods
drug|n	drug	n	542	drug, drugs
future|n	future	n	541	future, futures
prove|v	prove	v	540	prove, proves, proving, proved, proven
surprise|n	surprise	n	540	surprise, surprises
alright|r	alright	r	539	alright
captain|n	captain	n	539	captain, captains
evening|n	evening	n	539	evening, evenings
congratulations|u	congratulations	u	538	congratulations
system|n	system	n	538	system, systems
record|n	record	n	534	record, records
age|n	age	n	533	age, ages
deserve|v	deserve	v	529	deserve, deserves, deserving, deserved
normal|j	normal	j	528	normal
yesterday|n	yesterday	n	528	yesterday, yesterdays
jerk|n	jerk	n	526	jerk, jerks
yay|u	yay	u	526	yay
bird|n	bird	n	525	bird, birds
nose|n	nose	n	525	nose, noses
bother|v	bother	v	525	bother, bothers, bothering, bothered
fan|n	fan	n	523	fan, fans
letter|n	letter	n	523	letter, letters
rather|r	rather	r	522	rather
head|v	head	v	520	head, heads, heading, headed
interested|j	interested	j	519	interested
owe|v	owe	v	519	owe, owes, owing, owed
pregnant|j	pregnant	j	519	pregnant
destroy|v	destroy	v	516	destroy, destroys, destroying, destroyed
bear|n	bear	n	514	bear, bears
evil|j	evil	j	513	evil, eviler, eviller, evilest, evillest
milk|n	milk	n	512	milk, milks
sport|n	sport	n	511	sport, sports
admit|v	admit	v	510	admit, admits, admitting, admitted
apparently|r	apparently	r	510	apparently
conversation|n	conversation	n	509	conversation, conversations
obviously|r	obviously	r	509	obviously
uh-oh|u	uh-oh	u	509	uh-oh
jacket|n	jacket	n	508	jacket, jackets
during|fw	during	fw	507	during
accept|v	accept	v	504	accept, accepts, accepting, accepted
dumb|j	dumb	j	502	dumb, dumber, dumbest
bit|n	bit	n	500	bit, bits
consider|v	consider	v	500	consider, considers, considering, considered
mention|v	mention	v	500	mention, mentions, mentioning, mentioned
step|v	step	v	500	step, steps, stepping, stepped
deal|v	deal	v	499	deal, deals, dealing, dealt
hungry|j	hungry	j	499	hungry, hungrier, hungriest
situation|n	situation	n	499	situation, situations
lead|v	lead	v	497	lead, leads, leading, leaded, led
twelve|m	twelve	m	495	twelve, twelves
fantastic|j	fantastic	j	494	fantastic
hole|n	hole	n	494	hole, holes
plus|fw	plus	fw	494	plus
note|n	note	n	492	note, notes
test|n	test	n	492	test, tests
honest|j	honest	j	490	honest, honester, honestest
character|n	character	n	489	character, characters
holy|j	holy	j	489	holy, holier, holiest
manager|n	manager	n	489	manager, managers
lesson|n	lesson	n	488	lesson, lessons
soul|n	soul	n	488	soul, souls
nope|r	nope	r	487	nope
dark|j	dark	j	486	dark, darker, darkest
difference|n	difference	n	486	difference, differences
wine|n	wine	n	485	wine, wines
road|n	road	n	482	road, roads
calm|v	calm	v	481	calm, calms, calming, calmed
personal|j	personal	j	481	personal
clown|n	clown	n	480	clown, clowns
computer|n	computer	n	480	computer, computers
horse|n	horse	n	479	horse, horses
gosh|u	gosh	u	478	gosh
mayor|n	mayor	n	477	mayor, mayors
inside|r	inside	r	476	inside
sexy|j	sexy	j	476	sexy, sexier, sexiest
dirty|j	dirty	j	475	dirty, dirtier, dirtiest
carry|v	carry	v	474	carry, carries, carrying, carried
professor|n	professor	n	474	professor, professors
usually|r	usually	r	474	usually
bottle|n	bottle	n	473	bottle, bottles
cheese|n	cheese	n	473	cheese, cheeses
summer|n	summer	n	473	summer, summers
remind|v	remind	v	472	remind, reminds, reminding, reminded
afternoon|n	afternoon	n	471	afternoon, afternoons
pee|v	pee	v	471	pee, pees, peeing, peed
across|fw	across	fw	470	across
angry|j	angry	j	470	angry, angrier, angriest
fella|n	fella	n	470	fella, fellas
film|n	film	n	470	film, films
reach|v	reach	v	470	reach, reaches, reaching, reached
shower|n	shower	n	469	shower, showers
cup|n	cup	n	468	cup, cups
lawyer|n	lawyer	n	467	lawyer, lawyers
camera|n	camera	n	465	camera, cameras
pain|n	pain	n	465	pain, pains
hurry|v	hurry	v	462	hurry, hurries, hurrying, hurried
desk|n	desk	n	461	desk, desks
monster|n	monster	n	461	monster, monsters
certainly|r	certainly	r	460	certainly
cop|n	cop	n	460	cop, cops
credit|n	credit	n	459	credit, credits
prepare|v	prepare	v	459	prepare, prepares, preparing, prepared
anywhere|r	anywhere	r	458	anywhere
breakfast|n	breakfast	n	458	breakfast, breakfasts
bastard|n	bastard	n	457	bastard, bastards
damn|j	damn	j	456	damn
church|n	church	n	455	church, churches
hire|v	hire	v	454	hire, hires, hiring, hired
decision|n	decision	n	452	decision, decisions
Miss|n	Miss	n	451	miss, misses
pig|n	pig	n	448	pig, pigs
loser|n	loser	n	446	loser, losers
robot|n	robot	n	446	robot, robots
deep|j	deep	j	445	deep, deeper, deepest
park|n	park	n	445	park, parks
chocolate|n	chocolate	n	445	chocolate, chocolates
service|n	service	n	443	service, services
Jew|K	Jew	K	442	Jew
tape|n	tape	n	440	tape, tapes
kitchen|n	kitchen	n	439	kitchen, kitchens
half|m	half	m	438	half, halves
rid|v	rid	v	438	rid, rids, riddings, ridded
grandpa|n	grandpa	n	437	grandpa, grandpas
hero|n	hero	n	437	hero, heroes
shot|n	shot	n	437	shot, shots
spot|n	spot	n	437	spot, spots
folks|n	folks	n	436	folks
yell|v	yell	v	434	yell, yells, yelling, yelled
awful|j	awful	j	433	awful, awfuller, awfullest
scene|n	scene	n	433	scene, scenes
trick|n	trick	n	433	trick, tricks
asshole|n	asshole	n	431	asshole, assholes
issue|n	issue	n	430	issue, issues
lovely|j	lovely	j	429	lovely, lovelier, loveliest
visit|v	visit	v	428	visit, visits, visiting, visited
honor|n	honor	n	428	honor, honors
clean|j	clean	j	426	clean, cleaner, cleanest
second|n	second	n	425	second, seconds
chick|n	chick	n	424	chick, chicks
costume|n	costume	n	424	costume, costumes
Friday|K	Friday	K	424	Friday, Fridays
hall|n	hall	n	424	hall, halls
Ms|n	Ms	n	422	Ms, Mss, Mses
fake|j	fake	j	419	fake
forgive|v	forgive	v	419	forgive, forgives, forgiving, forgave, forgiven
grade|n	grade	n	419	grade, grades
fifteen|m	fifteen	m	418	fifteen, fifteens
ought|v	ought	v	417	ought
cheat|v	cheat	v	416	cheat, cheats, cheating, cheated
Chinese|K	Chinese	K	416	Chinese
crap|u	crap	u	414	crap, craps, crapping, crapped
create|v	create	v	413	create, creates, creating, created
comfortable|j	comfortable	j	412	comfortable
hotel|n	hotel	n	411	hotel, hotels
magazine|n	magazine	n	411	magazine, magazines
settle|v	settle	v	411	settle, settles, settling, settled
accident|n	accident	n	410	accident, accidents
boob|n	boob	n	409	boob, boobs
excellent|j	excellent	j	409	excellent
neighbor|n	neighbor	n	409	neighbor, neighbors
train|n	train	n	409	train, trains
board|n	board	n	408	board, boards
pop|v	pop	v	408	pop, pops, popping, popped
spirit|n	spirit	n	408	spirit, spirits
cow|n	cow	n	406	cow, cows
building|n	building	n	404	building, buildings
ear|n	ear	n	404	ear, ears
giant|j	giant	j	404	giant, giants
ugly|j	ugly	j	404	ugly, uglier, ugliest
toy|n	toy	n	403	toy, toys
cancel|v	cancel	v	402	cancel, cancels, canceling, canceled
Internet|K	Internet	K	402	Internet, Net
strange|j	strange	j	402	strange, stranger, strangest
aunt|n	aunt	n	401	aunt, aunts
island|n	island	n	401	island, islands
extra|j	extra	j	400	extra
fit|v	fit	v	400	fit, fits, fitting, fitted
rock|n	rock	n	400	rock, rocks
step|n	step	n	400	step, steps
action|n	action	n	399	action, actions
bill|n	bill	n	397	bill, bills
field|n	field	n	397	field, fields
kiss|n	kiss	n	397	kiss, kisses
fresh|j	fresh	j	395	fresh, fresher, freshest
level|n	level	n	395	level, levels
cost|v	cost	v	394	cost, costs, costing, costed
size|n	size	n	394	size, sizes
cell|n	cell	n	393	cell, cells
serve|v	serve	v	393	serve, serves, serving, served
shake|v	shake	v	393	shake, shakes, shaking, shook, shaken
neck|n	neck	n	392	neck, necks
bowl|n	bowl	n	392	bowl, bowls
control|n	control	n	391	control, controls
loud|j	loud	j	390	loud, louder, loudest
bedroom|n	bedroom	n	389	bedroom, bedrooms
check|n	check	n	389	check, checks
heaven|n	heaven	n	389	heaven, heavens
right|n	right	n	389	right, rights
commercial|n	commercial	n	388	commercial, commercials
draw|v	draw	v	388	draw, draws, drawing, drew, drawn
guest|n	guest	n	388	guest, guests
insane|j	insane	j	388	insane, insaner, insanest
fail|v	fail	v	388	fail, fails, failing, failed
cook|v	cook	v	387	cook, cooks, cooking, cooked
pleasure|n	pleasure	n	387	pleasure, pleasures
truck|n	truck	n	387	truck, trucks
science|n	science	n	386	science, sciences
careful|j	careful	j	385	careful
nervous|j	nervous	j	385	nervous
although|fw	although	fw	384	although, altho
